"zip","city","county","population"
"11804","Old Bethpage","Nassau","4639"
"14546","Scottsville","Monroe","4614"
"12053","Delanson","Schenectady","4611"
"12845","Lake George","Warren","4610"
"12157","Schoharie","Schoharie","4597"
"14541","Romulus","Seneca","4584"
"10916","Campbell Hall","Orange","4582"
"14136","Silver Creek","Chautauqua","4574"
"14510","Mount Morris","Livingston","4571"
"12833","Greenfield Center","Saratoga","4544"
"14512","Naples","Ontario","4542"
"14891","Watkins Glen","Schuyler","4536"
"13140","Port Byron","Cayuga","4534"
"12545","Millbrook","Dutchess","4517"
"12037","Chatham","Columbia","4489"
"14423","Caledonia","Livingston","4479"
"11568","Old Westbury","Nassau","4470"
"13849","Unadilla","Otsego","4449"
"12885","Warrensburg","Warren","4437"
"13602","Fort Drum","Jefferson","4383"
"10963","Otisville","Orange","4367"
"12871","Schuylerville","Saratoga","4361"
"12580","Staatsburg","Dutchess","4359"
"14042","Delevan","Cattaraugus","4359"
"14080","Holland","Erie","4323"
"10464","Bronx","Bronx","4322"
"10524","Garrison","Putnam","4317"
"11715","Blue Point","Suffolk","4287"
"14750","Lakewood","Chautauqua","4277"
"14737","Franklinville","Cattaraugus","4272"
"12134","Northville","Fulton","4232"
"13074","Hannibal","Oswego","4230"
"13329","Dolgeville","Herkimer","4211"
"13082","Kirkville","Onondaga","4201"
"14802","Alfred","Allegany","4171"
"12594","Wingdale","Dutchess","4150"
"11944","Greenport","Suffolk","4144"
"12148","Rexford","Saratoga","4143"
"12122","Middleburgh","Schoharie","4137"
"14548","Shortsville","Ontario","4132"
"10928","Highland Falls","Orange","4132"
"13803","Marathon","Cortland","4131"
"13460","Sherburne","Chenango","4122"
"11796","West Sayville","Suffolk","4112"
"12929","Dannemora","Clinton","4103"
"10548","Montrose","Westchester","4087"
"12196","West Sand Lake","Rensselaer","4072"
"13862","Whitney Point","Broome","4053"
"13456","Sauquoit","Oneida","4039"
"14532","Phelps","Ontario","3998"
"14882","Lansing","Tompkins","3998"
"12027","Burnt Hills","Saratoga","3996"
"14772","Randolph","Cattaraugus","3995"
"13811","Newark Valley","Tioga","3988"
"14485","Lima","Livingston","3976"
"12790","Wurtsboro","Sullivan","3933"
"14433","Clyde","Wayne","3920"
"13833","Port Crane","Broome","3890"
"10925","Greenwood Lake","Orange","3886"
"13838","Sidney","Delaware","3873"
"13308","Blossvale","Oneida","3867"
"13317","Canajoharie","Montgomery","3847"
"12083","Greenville","Greene","3830"
"13084","La Fayette","Onondaga","3814"
"10921","Florida","Orange","3812"
"13033","Cato","Cayuga","3807"
"14025","Boston","Erie","3784"
"13354","Holland Patent","Oneida","3777"
"13748","Conklin","Broome","3766"
"12809","Argyle","Washington","3751"
"14202","Buffalo","Erie","3749"
"12443","Hurley","Ulster","3721"
"13439","Richfield Springs","Otsego","3720"
"13637","Evans Mills","Jefferson","3720"
"13634","Dexter","Jefferson","3706"
"12758","Livingston Manor","Sullivan","3699"
"12944","Keeseville","Essex","3683"
"12404","Accord","Ulster","3679"
"14733","Falconer","Chautauqua","3655"
"13743","Candor","Tioga","3630"
"13476","Vernon","Oneida","3617"
"14416","Bergen","Genesee","3611"
"12543","Maybrook","Orange","3586"
"13408","Morrisville","Madison","3584"
"12992","West Chazy","Clinton","3565"
"11954","Montauk","Suffolk","3563"
"13132","Pennellville","Oswego","3557"
"12526","Germantown","Columbia","3530"
"11697","Breezy Point","Queens","3527"
"14125","Oakfield","Genesee","3514"
"11732","East Norwich","Nassau","3505"
"10987","Tuxedo Park","Orange","3499"
"10926","Harriman","Orange","3482"
"13030","Bridgeport","Onondaga","3470"
"12865","Salem","Washington","3470"
"14823","Canisteo","Steuben","3467"
"12827","Fort Ann","Washington","3455"
"13116","Minoa","Onondaga","3447"
"10998","Westtown","Orange","3428"
"13655","Hogansburg","Franklin","3418"
"14757","Mayville","Chautauqua","3371"
"12487","Ulster Park","Ulster","3370"
"11794","Stony Brook","Suffolk","3363"
"12015","Athens","Greene","3347"
"14062","Forestville","Chautauqua","3331"
"13491","West Winfield","Herkimer","3330"
"14738","Frewsburg","Chautauqua","3319"
"12484","Stone Ridge","Ulster","3318"
"13131","Parish","Oswego","3317"
"11749","Islandia","Suffolk","3315"
"10004","New York City","New York","3310"
"12413","Cairo","Greene","3290"
"14719","Cattaraugus","Cattaraugus","3283"
"10006","New York City","New York","3260"
"13478","Verona","Oneida","3257"
"12154","Schaghticoke","Rensselaer","3249"
"12846","Lake Luzerne","Warren","3248"
"14710","Ashville","Chautauqua","3244"
"10958","New Hampton","Orange","3236"
"13480","Waterville","Oneida","3235"
"13080","Jordan","Onondaga","3227"
"12458","Napanoch","Ulster","3223"
"11719","Brookhaven","Suffolk","3209"
"12449","Lake Katrine","Ulster","3208"
"14812","Beaver Dams","Schuyler","3200"
"13668","Norwood","St. Lawrence","3196"
"10974","Sloatsburg","Rockland","3189"
"12117","Mayfield","Fulton","3163"
"12138","Petersburg","Rensselaer","3156"
"11955","Moriches","Suffolk","3149"
"14111","North Collins","Erie","3146"
"14755","Little Valley","Cattaraugus","3146"
"14543","Rush","Monroe","3145"
"14821","Campbell","Steuben","3141"
"10588","Shrub Oak","Westchester","3102"
"13795","Kirkwood","Broome","3093"
"13411","New Berlin","Chenango","3092"
"11724","Cold Spring Harbor","Suffolk","3089"
"14521","Ovid","Seneca","3077"
"11718","Brightwaters","Suffolk","3070"
"14807","Arkport","Steuben","3070"
"13417","New York Mills","Oneida","3066"
"12072","Fultonville","Montgomery","3065"
"14712","Bemus Point","Chautauqua","3051"
"13060","Elbridge","Onondaga","3050"
"13471","Taberg","Oneida","3045"
"13787","Harpursville","Broome","3039"
"12068","Fonda","Montgomery","3029"
"14098","Lyndonville","Orleans","3028"
"13691","Theresa","Jefferson","3016"
"11935","Cutchogue","Suffolk","3008"
"13461","Sherrill","Oneida","2987"
"11978","Westhampton Beach","Suffolk","2981"
"12520","Cornwall On Hudson","Orange","2970"
"12525","Gardiner","Ulster","2966"
"12074","Galway","Saratoga","2957"
"13438","Remsen","Oneida","2944"
"12788","Woodbourne","Sullivan","2909"
"14735","Fillmore","Allegany","2900"
"13825","Otego","Otsego","2888"
"13754","Deposit","Broome","2883"
"12850","Middle Grove","Saratoga","2866"
"14517","Nunda","Livingston","2846"
"14081","Irving","Chautauqua","2844"
"12821","Comstock","Washington","2839"
"12921","Chazy","Clinton","2835"
"13656","La Fargeville","Jefferson","2834"
"12546","Millerton","Dutchess","2824"
"13332","Earlville","Chenango","2823"
"14561","Stanley","Ontario","2815"
"12547","Milton","Ulster","2810"
"12919","Champlain","Clinton","2805"
"14865","Montour Falls","Schuyler","2784"
"14172","Wilson","Niagara","2781"
"13667","Norfolk","St. Lawrence","2781"
"12514","Clinton Corners","Dutchess","2772"
"10537","Lake Peekskill","Putnam","2769"
"14770","Portville","Cattaraugus","2761"
"13167","West Monroe","Oswego","2756"
"13044","Constantia","Oswego","2742"
"12966","North Bangor","Franklin","2732"
"14840","Hammondsport","Steuben","2730"
"11549","Hempstead","Nassau","2728"
"14724","Clymer","Chautauqua","2723"
"13613","Brasher Falls","St. Lawrence","2698"
"14809","Avoca","Steuben","2676"
"14853","Ithaca","Tompkins","2663"
"12167","Stamford","Delaware","2663"
"10984","Thiells","Rockland","2661"
"13783","Hancock","Delaware","2659"
"12183","Troy","Albany","2647"
"12531","Holmes","Dutchess","2645"
"12918","Cadyville","Clinton","2641"
"14716","Brocton","Chautauqua","2640"
"13730","Afton","Chenango","2630"
"11977","Westhampton","Suffolk","2629"
"12567","Pine Plains","Dutchess","2608"
"13164","Warners","Onondaga","2607"
"13654","Heuvelton","St. Lawrence","2603"
"13620","Castorland","Lewis","2592"
"14715","Bolivar","Allegany","2585"
"12056","Duanesburg","Schenectady","2543"
"14604","Rochester","Monroe","2536"
"12835","Hadley","Saratoga","2530"
"12075","Ghent","Columbia","2530"
"14525","Pavilion","Genesee","2524"
"14775","Ripley","Chautauqua","2520"
"10973","Slate Hill","Orange","2510"
"14817","Brooktondale","Tompkins","2508"
"11548","Greenvale","Nassau","2491"
"13092","Locke","Cayuga","2484"
"10968","Piermont","Rockland","2466"
"13606","Adams Center","Jefferson","2456"
"13101","Mc Graw","Cortland","2448"
"12759","Loch Sheldrake","Sullivan","2443"
"12916","Brushton","Franklin","2436"
"12979","Rouses Point","Clinton","2435"
"13146","Savannah","Wayne","2433"
"14034","Collins","Erie","2428"
"12859","Porter Corners","Saratoga","2425"
"14739","Friendship","Allegany","2421"
"13658","Lisbon","St. Lawrence","2414"
"12981","Saranac","Clinton","2401"
"12920","Chateaugay","Franklin","2387"
"14471","Honeoye","Ontario","2385"
"13042","Cleveland","Oswego","2383"
"12926","Constable","Franklin","2380"
"12023","Berne","Albany","2376"
"13424","Oriskany","Oneida","2375"
"14847","Interlaken","Seneca","2375"
"14012","Barker","Niagara","2374"
"13040","Cincinnatus","Cortland","2370"
"12776","Roscoe","Sullivan","2361"
"12149","Richmondville","Schoharie","2358"
"13363","Lee Center","Oneida","2358"
"14170","West Falls","Erie","2350"
"13459","Sharon Springs","Schoharie","2343"
"14516","North Rose","Wayne","2338"
"14873","Prattsburgh","Steuben","2328"
"14435","Conesus","Livingston","2327"
"14560","Springwater","Livingston","2320"
"13493","Williamstown","Oswego","2318"
"14005","Alexander","Genesee","2312"
"10976","Sparkill","Rockland","2300"
"10511","Buchanan","Westchester","2300"
"13143","Red Creek","Wayne","2300"
"12106","Kinderhook","Columbia","2299"
"11964","Shelter Island","Suffolk","2287"
"14544","Rushville","Yates","2280"
"14627","Rochester","Monroe","2280"
"14782","Sinclairville","Chautauqua","2272"
"14826","Cohocton","Steuben","2271"
"13626","Copenhagen","Lewis","2271"
"14476","Kendall","Orleans","2270"
"12207","Albany","Albany","2264"
"14813","Belmont","Allegany","2264"
"13797","Lisle","Broome","2262"
"12094","Johnsonville","Rensselaer","2260"
"13812","Nichols","Tioga","2258"
"14879","Savona","Steuben","2257"
"13409","Munnsville","Madison","2255"
"14533","Piffard","Livingston","2254"
"11005","Floral Park","Queens","2249"
"12817","Chestertown","Warren","2243"
"13160","Union Springs","Cayuga","2242"
"13843","South New Berlin","Chenango","2241"
"13685","Sackets Harbor","Jefferson","2238"
"13612","Black River","Jefferson","2233"
"12581","Stanfordville","Dutchess","2231"
"13673","Philadelphia","Jefferson","2231"
"14767","Panama","Chautauqua","2224"
"13616","Calcium","Jefferson","2202"
"13110","Marietta","Onondaga","2198"
"13324","Cold Brook","Herkimer","2195"
"12910","Altona","Clinton","2190"
"12057","Eagle Bridge","Washington","2176"
"12780","Sparrow Bush","Orange","2165"
"12583","Tivoli","Dutchess","2160"
"14058","Elba","Genesee","2160"
"12501","Amenia","Dutchess","2158"
"12974","Port Henry","Essex","2152"
"12775","Rock Hill","Sullivan","2151"
"13425","Oriskany Falls","Oneida","2143"
"12197","Worcester","Otsego","2139"
"12173","Stuyvesant","Columbia","2139"
"13622","Chaumont","Jefferson","2138"
"13320","Cherry Valley","Otsego","2119"
"12466","Port Ewen","Ulster","2110"
"12121","Melrose","Rensselaer","2110"
"14744","Houghton","Allegany","2103"
"12578","Salt Point","Dutchess","2100"
"13120","Nedrow","Onondaga","2092"
"13736","Berkshire","Tioga","2086"
"12996","Willsboro","Essex","2084"
"13416","Newport","Herkimer","2079"
"14422","Byron","Genesee","2074"
"14427","Castile","Wyoming","2073"
"12747","Hurleyville","Sullivan","2072"
"14806","Andover","Allegany","2060"
"13648","Harrisville","Lewis","2056"
"12748","Jeffersonville","Sullivan","2042"
"14838","Erin","Chemung","2039"
"13076","Hastings","Oswego","2037"
"13495","Yorkville","Oneida","2035"
"14818","Burdett","Schuyler","2029"
"14171","West Valley","Cattaraugus","2029"
"12928","Crown Point","Essex","2029"
"13083","Lacona","Oswego","2027"
"14139","South Wales","Erie","2020"
"12958","Mooers","Clinton","2020"
"14747","Kennedy","Chautauqua","2015"
"12789","Woodridge","Sullivan","2009"
"12185","Valley Falls","Rensselaer","2007"
"12137","Pattersonville","Schenectady","1993"
"12168","Stephentown","Rensselaer","1993"
"14726","Conewango Valley","Cattaraugus","1980"
"12155","Schenevus","Otsego","1979"
"12070","Fort Johnson","Montgomery","1974"
"14743","Hinsdale","Cattaraugus","1938"
"12575","Rock Tavern","Orange","1930"
"12577","Salisbury Mills","Orange","1929"
"12740","Grahamsville","Sullivan","1927"
"13034","Cayuga","Cayuga","1925"
"12052","Cropseyville","Rensselaer","1921"
"12529","Hillsdale","Columbia","1919"
"14481","Leicester","Livingston","1906"
"12912","Au Sable Forks","Clinton","1903"
"13431","Poland","Herkimer","1902"
"14718","Cassadaga","Chautauqua","1899"
"12193","Westerlo","Albany","1888"
"14814","Big Flats","Chemung","1883"
"14030","Chaffee","Erie","1882"
"12516","Copake","Columbia","1882"
"12937","Fort Covington","Franklin","1880"
"13646","Hammond","St. Lawrence","1879"
"14711","Belfast","Allegany","1874"
"12486","Tillson","Ulster","1874"
"10526","Goldens Bridge","Westchester","1860"
"14880","Scio","Allegany","1847"
"11976","Water Mill","Suffolk","1847"
"12066","Esperance","Montgomery","1837"
"10986","Tomkins Cove","Rockland","1836"
"12853","North Creek","Warren","1834"
"13734","Barton","Tioga","1828"
"13063","Fabius","Onondaga","1827"
"14203","Buffalo","Erie","1819"
"12523","Elizaville","Columbia","1810"
"12737","Glen Spey","Sullivan","1800"
"14741","Great Valley","Cattaraugus","1796"
"11509","Atlantic Beach","Nassau","1790"
"14167","Varysburg","Wyoming","1788"
"14138","South Dayton","Cattaraugus","1786"
"14781","Sherman","Chautauqua","1782"
"13775","Franklin","Delaware","1780"
"10922","Fort Montgomery","Orange","1778"
"12192","West Coxsackie","Greene","1778"
"13697","Winthrop","St. Lawrence","1776"
"13158","Truxton","Cortland","1772"
"14898","Woodhull","Steuben","1772"
"12764","Narrowsburg","Sullivan","1770"
"11941","Eastport","Suffolk","1770"
"13111","Martville","Cayuga","1769"
"12977","Ray Brook","Essex","1763"
"13327","Croghan","Lewis","1762"
"13809","Mount Upton","Chenango","1761"
"13156","Sterling","Cayuga","1757"
"14804","Almond","Allegany","1739"
"12870","Schroon Lake","Essex","1736"
"12481","Shokan","Ulster","1732"
"13304","Barneveld","Oneida","1726"
"12059","East Berne","Albany","1719"
"14040","Darien Center","Genesee","1719"
"14101","Machias","Cattaraugus","1718"
"14065","Freedom","Cattaraugus","1705"
"13026","Aurora","Cayuga","1705"
"12779","South Fallsburg","Sullivan","1701"
"12463","Palenville","Greene","1700"
"13608","Antwerp","Jefferson","1698"
"12060","East Chatham","Columbia","1687"
"13679","Redwood","Jefferson","1686"
"13112","Memphis","Onondaga","1683"
"12140","Poestenkill","Rensselaer","1681"
"14013","Basom","Genesee","1680"
"12592","Wassaic","Dutchess","1671"
"13024","Auburn","Cayuga","1671"
"13428","Palatine Bridge","Montgomery","1668"
"12491","West Hurley","Ulster","1660"
"13433","Port Leyden","Lewis","1657"
"12515","Clintondale","Ulster","1657"
"12729","Cuddebackville","Orange","1650"
"10917","Central Valley","Orange","1650"
"13680","Rensselaer Falls","St. Lawrence","1643"
"13660","Madrid","St. Lawrence","1641"
"13052","De Ruyter","Madison","1626"
"13328","Deansboro","Oneida","1622"
"13661","Mannsville","Jefferson","1609"
"13144","Richland","Oswego","1608"
"13490","Westmoreland","Oneida","1606"
"12783","Swan Lake","Sullivan","1605"
"12093","Jefferson","Schoharie","1602"
"12062","East Nassau","Rensselaer","1601"
"14504","Manchester","Ontario","1593"
"14889","Van Etten","Chemung","1580"
"13746","Chenango Forks","Broome","1578"
"14478","Keuka Park","Yates","1577"
"13343","Glenfield","Lewis","1572"
"14028","Burt","Niagara","1571"
"12430","Fleischmanns","Delaware","1570"
"12723","Callicoon","Sullivan","1561"
"13650","Henderson","Jefferson","1559"
"12957","Moira","Franklin","1559"
"14591","Wyoming","Wyoming","1556"
"12067","Feura Bush","Albany","1554"
"14054","East Bethany","Genesee","1554"
"12455","Margaretville","Delaware","1553"
"14008","Appleton","Niagara","1547"
"13652","Hermon","St. Lawrence","1544"
"14466","Hemlock","Livingston","1526"
"13618","Cape Vincent","Jefferson","1525"
"13808","Morris","Otsego","1524"
"12521","Craryville","Columbia","1522"
"14129","Perrysburg","Cattaraugus","1519"
"12496","Windham","Greene","1516"
"13630","De Kalb Junction","St. Lawrence","1515"
"12116","Maryland","Otsego","1506"
"10964","Palisades","Rockland","1506"
"13054","Durhamville","Oneida","1500"
"12504","Annandale On Hudson","Dutchess","1490"
"12993","Westport","Essex","1486"
"13302","Altmar","Oswego","1483"
"12472","Rosendale","Ulster","1482"
"12959","Mooers Forks","Clinton","1474"
"13315","Burlington Flats","Otsego","1471"
"13625","Colton","St. Lawrence","1470"
"14477","Kent","Orleans","1460"
"13801","Mc Donough","Chenango","1457"
"14145","Strykersville","Wyoming","1456"
"13303","Ava","Oneida","1454"
"12440","High Falls","Ulster","1449"
"13607","Alexandria Bay","Jefferson","1445"
"13402","Madison","Madison","1441"
"12726","Cochecton","Sullivan","1440"
"13355","Hubbardsville","Madison","1440"
"12935","Ellenburg Depot","Clinton","1428"
"12451","Leeds","Greene","1425"
"14091","Lawtons","Erie","1422"
"14709","Angelica","Allegany","1421"
"13145","Sandy Creek","Oswego","1410"
"14024","Bliss","Wyoming","1408"
"12941","Jay","Essex","1402"
"13757","East Meredith","Delaware","1396"
"12785","Westbrookville","Sullivan","1390"
"10578","Purdys","Westchester","1386"
"13335","Edmeston","Otsego","1386"
"13348","Hartwick","Otsego","1381"
"12086","Hagaman","Montgomery","1379"
"13464","Smyrna","Chenango","1368"
"13813","Nineveh","Broome","1368"
"14102","Marilla","Erie","1367"
"13810","Mount Vision","Otsego","1362"
"14778","Saint Bonaventure","Cattaraugus","1349"
"14033","Colden","Erie","1344"
"12917","Burke","Franklin","1344"
"12461","Olivebridge","Ulster","1343"
"14055","East Concord","Erie","1337"
"10505","Baldwin Place","Westchester","1336"
"13694","Waddington","St. Lawrence","1328"
"12423","East Durham","Greene","1320"
"14571","Waterport","Orleans","1314"
"13835","Richford","Tioga","1310"
"11739","Great River","Suffolk","1307"
"13744","Castle Creek","Broome","1307"
"12903","Plattsburgh","Clinton","1306"
"12151","Round Lake","Saratoga","1302"
"13318","Cassville","Oneida","1300"
"14731","Ellicottville","Cattaraugus","1291"
"10919","Circleville","Orange","1286"
"14869","Odessa","Schuyler","1276"
"13338","Forestport","Oneida","1263"
"12814","Bolton Landing","Warren","1259"
"14550","Silver Springs","Wyoming","1256"
"13839","Sidney Center","Delaware","1251"
"10162","New York City","New York","1240"
"13469","Stittville","Oneida","1238"
"10501","Amawalk","Westchester","1237"
"14858","Lindley","Steuben","1232"
"13485","West Edmeston","Otsego","1231"
"12719","Barryville","Sullivan","1229"
"12502","Ancram","Columbia","1224"
"13807","Milford","Otsego","1214"
"12932","Elizabethtown","Essex","1210"
"13081","King Ferry","Cayuga","1203"
"14066","Gainesville","Wyoming","1188"
"12076","Gilboa","Schoharie","1188"
"13368","Lyons Falls","Lewis","1184"
"14753","Limestone","Cattaraugus","1182"
"13122","New Woodstock","Madison","1181"
"13864","Willseyville","Tioga","1181"
"12956","Mineville","Essex","1180"
"11569","Point Lookout","Nassau","1175"
"14861","Lowman","Chemung","1153"
"14614","Rochester","Monroe","1151"
"13681","Richville","St. Lawrence","1149"
"12166","Sprakers","Montgomery","1145"
"11939","East Marion","Suffolk","1144"
"12837","Hampton","Washington","1140"
"12548","Modena","Ulster","1133"
"14860","Lodi","Seneca","1132"
"12733","Fallsburg","Sullivan","1129"
"12431","Freehold","Greene","1125"
"12989","Vermontville","Franklin","1114"
"14842","Himrod","Yates","1111"
"13635","Edwards","St. Lawrence","1108"
"12046","Coeymans Hollow","Albany","1103"
"11932","Bridgehampton","Suffolk","1099"
"10969","Pine Island","Orange","1098"
"14723","Cherry Creek","Chautauqua","1098"
"14109","Niagara University","Niagara","1089"
"10546","Millwood","Westchester","1085"
"12125","New Lebanon","Columbia","1084"
"13334","Eaton","Madison","1083"
"12029","Canaan","Columbia","1082"
"14859","Lockwood","Tioga","1076"
"12087","Hannacroix","Greene","1069"
"12997","Wilmington","Essex","1067"
"13420","Old Forge","Herkimer","1064"
"13796","Laurens","Otsego","1063"
"12913","Bloomingdale","Essex","1059"
"12934","Ellenburg Center","Clinton","1059"
"14728","Dewittville","Chautauqua","1056"
"12489","Wawarsing","Ulster","1055"
"12980","Saint Regis Falls","Franklin","1053"
"10596","Verplanck","Westchester","1051"
"14894","Wellsburg","Chemung","1051"
"14555","Sodus Point","Wayne","1048"
"10518","Cross River","Westchester","1041"
"12967","North Lawrence","St. Lawrence","1035"
"14740","Gerry","Chautauqua","1032"
"10931","Hillburn","Rockland","1031"
"13147","Scipio Center","Cayuga","1031"
"13477","Vernon Center","Oneida","1029"
"12815","Brant Lake","Warren","1027"
"11957","Orient","Suffolk","1023"
"12751","Kiamesha Lake","Sullivan","1019"
"12092","Howes Cave","Schoharie","1008"
"12565","Philmont","Columbia","997"
"14769","Portland","Chautauqua","996"
"12985","Schuyler Falls","Clinton","994"
"14729","East Otto","Cattaraugus","990"
"11972","Speonk","Suffolk","983"
"13755","Downsville","Delaware","982"
"12058","Earlton","Greene","971"
"12456","Mount Marion","Ulster","968"
"14846","Hunt","Livingston","966"
"13802","Maine","Broome","964"
"12427","Elka Park","Greene","962"
"14864","Millport","Chemung","961"
"12464","Phoenicia","Ulster","958"
"13473","Turin","Lewis","958"
"14805","Alpine","Schuyler","958"
"12468","Prattsville","Greene","955"
"13325","Constableville","Lewis","955"
"14822","Canaseraga","Allegany","947"
"13731","Andes","Delaware","946"
"12824","Diamond Point","Warren","946"
"14506","Mendon","Monroe","939"
"14143","Stafford","Genesee","938"
"14784","Stockton","Chautauqua","938"
"12765","Neversink","Sullivan","937"
"12474","Roxbury","Delaware","934"
"13071","Genoa","Cayuga","934"
"14418","Branchport","Yates","932"
"14836","Dalton","Livingston","931"
"12768","Parksville","Sullivan","930"
"12585","Verbank","Dutchess","928"
"13028","Bernhards Bay","Oswego","926"
"12457","Mount Tremper","Ulster","911"
"13615","Brownville","Jefferson","905"
"14480","Lakeville","Livingston","904"
"12442","Hunter","Greene","901"
"13788","Hobart","Delaware","899"
"14037","Cowlesville","Wyoming","897"
"14507","Middlesex","Yates","894"
"12130","Niverville","Columbia","892"
"12914","Bombay","Franklin","891"
"13322","Clayville","Oneida","888"
"13752","De Lancey","Delaware","886"
"13072","Georgetown","Madison","884"
"14839","Greenwood","Steuben","881"
"12863","Rock City Falls","Saratoga","880"
"13061","Erieville","Madison","877"
"12873","Shushan","Washington","875"
"13361","Jordanville","Herkimer","872"
"11765","Mill Neck","Nassau","871"
"13406","Middleville","Herkimer","865"
"12777","Forestburgh","Sullivan","863"
"12150","Rotterdam Junction","Schenectady","849"
"13684","Russell","St. Lawrence","842"
"12160","Sloansville","Schoharie","841"
"12970","Paul Smiths","Franklin","839"
"10527","Granite Springs","Westchester","829"
"12734","Ferndale","Sullivan","828"
"13310","Bouckville","Madison","828"
"13782","Hamden","Delaware","824"
"12930","Dickinson Center","Franklin","815"
"12434","Grand Gorge","Delaware","813"
"12153","Sand Lake","Rensselaer","809"
"14820","Cameron Mills","Steuben","807"
"13454","Salisbury Center","Herkimer","800"
"13750","Davenport","Delaware","788"
"14855","Jasper","Steuben","785"
"14825","Chemung","Chemung","784"
"12762","Mongaup Valley","Sullivan","783"
"13739","Bloomville","Delaware","783"
"14803","Alfred Station","Allegany","782"
"14815","Bradford","Steuben","776"
"14897","Whitesville","Allegany","772"
"12063","East Schodack","Rensselaer","770"
"12842","Indian Lake","Hamilton","765"
"12494","West Shokan","Ulster","762"
"13319","Chadwicks","Oneida","761"
"12032","Caroga Lake","Fulton","753"
"12732","Eldred","Sullivan","753"
"12156","Schodack Landing","Rensselaer","752"
"14720","Celoron","Chautauqua","749"
"12791","Youngsville","Sullivan","745"
"14885","Troupsburg","Steuben","742"
"12120","Medusa","Albany","733"
"12409","Bearsville","Ulster","723"
"11960","Remsenburg","Suffolk","721"
"14462","Groveland","Livingston","718"
"13780","Guilford","Chenango","708"
"12028","Buskirk","Rensselaer","707"
"13486","Westernville","Oneida","701"
"10597","Waccabuc","Westchester","699"
"14819","Cameron","Steuben","696"
"12406","Arkville","Delaware","695"
"12190","Wells","Hamilton","687"
"12763","Mountain Dale","Sullivan","684"
"12857","Olmstedville","Essex","684"
"11958","Peconic","Suffolk","683"
"12041","Clarksville","Albany","681"
"13863","Willet","Cortland","681"
"13844","South Plymouth","Chenango","674"
"12950","Lewis","Essex","674"
"14777","Rushford","Allegany","673"
"11948","Laurel","Suffolk","670"
"14841","Hector","Schuyler","665"
"13470","Stratford","Fulton","665"
"12878","Stony Creek","Warren","663"
"12942","Keene","Essex","663"
"12746","Huguenot","Orange","663"
"14126","Olcott","Niagara","661"
"12136","Old Chatham","Columbia","658"
"13682","Rodman","Jefferson","654"
"12022","Berlin","Rensselaer","652"
"12485","Tannersville","Greene","650"
"12469","Preston Hollow","Albany","642"
"14069","Glenwood","Erie","642"
"12175","Summit","Schoharie","639"
"13321","Clark Mills","Oneida","639"
"14824","Cayuta","Schuyler","639"
"12838","Hartford","Washington","638"
"12960","Moriah","Essex","635"
"12810","Athol","Warren","630"
"13337","Fly Creek","Otsego","628"
"13842","South Kortright","Delaware","627"
"13665","Natural Bridge","Jefferson","626"
"11547","Glenwood Landing","Nassau","625"
"11930","Amagansett","Suffolk","618"
"12503","Ancramdale","Columbia","617"
"12482","South Cairo","Greene","612"
"12836","Hague","Warren","605"
"14714","Black Creek","Allegany","604"
"14536","Portageville","Wyoming","599"
"10988","Unionville","Orange","596"
"12604","Poughkeepsie","Dutchess","594"
"12884","Victory Mills","Saratoga","593"
"14877","Rexville","Steuben","583"
"12035","Central Bridge","Schoharie","579"
"12405","Acra","Greene","579"
"12473","Round Top","Greene","573"
"11959","Quogue","Suffolk","571"
"13690","Star Lake","St. Lawrence","569"
"14026","Bowmansville","Erie","568"
"12470","Purling","Greene","564"
"13832","Plymouth","Chenango","563"
"13841","Smithville Flats","Chenango","561"
"12417","Connelly","Ulster","559"
"12444","Jewett","Greene","555"
"12923","Churubusco","Clinton","555"
"14748","Kill Buck","Cattaraugus","548"
"12177","Tribes Hill","Montgomery","547"
"14872","Pine Valley","Chemung","547"
"12124","New Baltimore","Greene","545"
"14816","Breesport","Chemung","544"
"12008","Alplaus","Schenectady","542"
"13489","West Leyden","Lewis","538"
"12965","Nicholville","St. Lawrence","537"
"14878","Rock Stream","Yates","536"
"14754","Little Genesee","Allegany","533"
"12861","Putnam Station","Washington","530"
"12823","Cossayuna","Washington","527"
"12174","Stuyvesant Falls","Columbia","526"
"12187","Warnerville","Schoharie","519"
"12432","Glasco","Ulster","514"
"14808","Atlanta","Steuben","514"
"13141","Preble","Cortland","510"
"13776","Gilbertsville","Otsego","507"
"12574","Rhinecliff","Dutchess","502"
"12778","Smallwood","Sullivan","500"
"14082","Java Center","Wyoming","498"
"10517","Crompond","Westchester","497"
"12147","Rensselaerville","Albany","495"
"12419","Cottekill","Ulster","495"
"13621","Chase Mills","St.Lawrence","494"
"13155","South Otselic","Chenango","491"
"13157","Sylvan Beach","Oneida","489"
"14113","North Java","Wyoming","488"
"13123","North Bay","Oneida","485"
"12433","Glenford","Ulster","483"
"13740","Bovina Center","Delaware","483"
"12843","Johnsburg","Warren","482"
"12860","Pottersville","Warren","480"
"12760","Long Eddy","Sullivan","478"
"13468","Springfield Center","Otsego","478"
"14060","Farmersville Station","Cattaraugus","478"
"13670","Oswegatchie","St. Lawrence","476"
"13846","Treadwell","Delaware","475"
"11042","New Hyde Park","Nassau","475"
"13153","Skaneateles Falls","Onondaga","469"
"13786","Harpersfield","Delaware","464"
"13163","Wampsville","Madison","462"
